Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date
Darksiders III,PC,Action,THQ Nordic,,0.01,,0,0.01,27/11/2018
Nari Kids Park: Ultraman R/B,NS,Action,Bandai Namco Games,,,0,,0,21/11/2018
Shin Megami Tensei IV Double Hero Pack,3DS,Action,Atlus,,,0,,0,19/4/2018
Dillon's Dead-Heat Breakers,3DS,Action,Nintendo,,,0,,0,26/4/2018
Nari Kids Park: Kaitou Sentai Lupinranger Vs. Keisatsu Sentai Patoranger,NS,Action,Bandai Namco Games,,,0,,0,21/11/2018
La-Mulana 2,PC,Platform,AGM Playism,,,,,,30/7/2018
Little Dragons Café,NS,Simulation,Aksys Games,0.09,,0.02,0.01,0.13,24/8/2018
Desert Child,NS,Role-Playing,Akupara Games,,,,,,11/12/2018
Mhakna Gramura and Fairy Bell,PC,Visual+Novel,Alice in Dissonance,,,,,,19/2/2018
Octogeddon,PC,Action,All Yes Good,,,,,,8/2/2018
Anodyne,XOne,Action-Adventure,Analgesic Productions,,,,,,21/9/2018
Anodyne,PS4,Action-Adventure,Analgesic Productions,,,,,,18/9/2018
Ashen (2018),PC,Action-Adventure,Annapurna Interactive,,,,,,7/12/2018
Ashen (2018),XOne,Action-Adventure,Annapurna Interactive,,,,,,7/12/2018
Donut County,NS,Puzzle,Annapurna Interactive,,,,,,18/12/2018
Donut County,OSX,Adventure,Annapurna Interactive,,,,,,28/8/2018
Donut County,And,Adventure,Annapurna Interactive,,,,,,28/8/2018
Donut County,PC,Adventure,Annapurna Interactive,,,,,,28/8/2018
Donut County,PS4,Adventure,Annapurna Interactive,,,,,,28/8/2018
Legrand Legacy: Tale of the Fatebounds,PC,Role-Playing,Another Indie,,,,,,24/1/2018
Subsurface Circular,NS,Puzzle,Ant Workshop,,,,,,1/3/2018
Syberia 3,NS,Adventure,Anuman,,,,,,1/1/2018
Aperion Cyberstorm,NS,Shooter,aPriori Digital,,,,,,8/2/2018
Horizon Chase Turbo,NS,Racing,AQUIRIS,,,,,,28/11/2018
Horizon Chase Turbo,XOne,Racing,AQUIRIS,,,,,,28/11/2018
Horizon Chase Turbo,PC,Racing,AQUIRIS,,,,,,15/5/2018
Horizon Chase Turbo,PS4,Racing,AQUIRIS,,,,,,15/5/2018
BlazBlue: Cross Tag Battle,All,Fighting,Arc System Works,,,,,,5/6/2018
BlazBlue: Cross Tag Battle,PC,Fighting,Arc System Works,,,,,,5/6/2018
Damascus Gear: Operation Tokyo,NS,Role-Playing,Arc System Works,,,,,,1/3/2018
EAT BEAT DEADSPIKE-san,NS,Music,Arc System Works,,,,,,22/3/2018
Fantasy Hero: Unsigned Legacy,NS,Role-Playing,Arc System Works,,,,,,25/1/2018
Gotcha Racing 2nd,NS,Racing,Arc System Works,,,,,,29/5/2018
Of Mice and Sand: Revised,NS,Strategy,Arc System Works,,,,,,11/1/2018
World End Syndrome,PSV,Visual+Novel,Arc System Works,,,,,,26/4/2018
World End Syndrome,PS4,Visual+Novel,Arc System Works,,,,,,26/4/2018
Fighting EX Layer,PS4,Fighting,Arika,,,,,,28/6/2018
Enigmatis 2: The Mists Of Ravenwood,NS,Puzzle,Artifex Mundi sp. z o.o.,,,,,,25/5/2018
Persian Nights: Sands Of Wonders,NS,Puzzle,Artifex Mundi sp. z o.o.,,,,,,17/8/2018
Meow Motors,PC,Racing,ArtVostok,,,,,,4/6/2018
Carcassonne,NS,Board+Game,Asmodee Digital,,,,,,6/12/2018
InnerSpace,PS4,Adventure,Aspyr,,,,,,16/1/2018
InnerSpace,PC,Adventure,Aspyr,,,,,,16/1/2018
InnerSpace,XOne,Adventure,Aspyr,,,,,,16/1/2018
Next Up Hero,XOne,Action,Aspyr,,,,,,28/6/2018
Next Up Hero,PS4,Action,Aspyr,,,,,,28/6/2018
Next Up Hero,PC,Action,Aspyr,,,,,,28/6/2018
InnerSpace,NS,Adventure,"Aspyr Media, Inc.",,,,,,16/1/2018
Next Up Hero,NS,Action,"Aspyr Media, Inc.",,,,,,1/4/2018
West of Loathing,NS,Adventure,Asymmetric,,,,,,31/5/2018
Roller Coaster Tycoon Joyride,PS4,Action,Atari,,,,,,13/12/2018
RollerCoaster Tycoon Adventures,NS,Simulation,Atari,,,,,,13/12/2018
Dragon's Crown Pro,PS4,Role-Playing,Atlus,0.1,,,0.02,0.12,24/4/2018
Persona Dancing: Endless Night Collection,PS4,Music,Atlus,0.07,,0.04,0.02,0.13,4/12/2018
Radiant Historia: Perfect Chronology,3DS,Role-Playing,Atlus,0.11,0.03,0.06,0.01,0.21,13/2/2018
Shin Megami Tensei: Strange Journey Redux,3DS,Role-Playing,Atlus,0.08,0.01,0.1,0.01,0.2,15/5/2018
The Alliance Alive,3DS,Role-Playing,Atlus,0.04,,0.06,0.01,0.11,27/3/2018
Totes the Goat,NS,Puzzle,Atooi,,,,,,1/3/2018
Xeodrifter,NS,Platform,Atooi,,,,,,15/2/2018
Radiation Island,NS,Adventure,Atypical Games,,,,,,22/2/2018
"I, Zombie",NS,Puzzle,Awesome Games Studio,,,,,,8/3/2018
AXYOS,PC,Shooter,Axyos Games,,,,,,1/8/2018
Everspace,PS4,Shooter,Badland Games,,,,,,27/11/2018
Nightmare Boy,NS,Action,Badland Games,,,,,,16/1/2018
11-11 Memories Retold,PC,Adventure,Bandai Namco Entertainment,,,,,,8/11/2018
Dark Souls: Remastered,NS,Role-Playing,Bandai Namco Entertainment,,,,,,19/10/2018
Dark Souls: Remastered,All,Role-Playing,Bandai Namco Entertainment,,,,,,25/5/2018
Dark Souls: Remastered,PS4,Role-Playing,Bandai Namco Entertainment,,,,,,25/5/2018
Dark Souls: Remastered,PC,Role-Playing,Bandai Namco Entertainment,,,,,,25/5/2018
Dark Souls: Remastered,XOne,Role-Playing,Bandai Namco Entertainment,0.07,0.03,,0.01,0.11,25/5/2018
Divinity: Original Sin II,PS4,Role-Playing,Bandai Namco Entertainment,0.04,0.08,,0.02,0.13,31/8/2018
Dragon Ball FighterZ,NS,Fighting,Bandai Namco Entertainment,,,,,,28/9/2018
Dragon Ball FighterZ,All,Fighting,Bandai Namco Entertainment,,,,,,26/1/2018
Jump Force,XOne,Fighting,Bandai Namco Entertainment,,,,,,15/2/2018
Katamari Damacy Reroll,NS,Action,Bandai Namco Entertainment,0.14,,0.02,0.02,0.17,7/12/2018
Katamari Damacy Reroll,PC,Action,Bandai Namco Entertainment,,,,,,7/12/2018
My Hero One's Justice,All,Fighting,Bandai Namco Entertainment,,,,,,26/10/2018
My Hero One's Justice,PS4,Fighting,Bandai Namco Entertainment,0.16,0.05,0.04,0.05,0.3,26/10/2018
My Hero One's Justice,NS,Fighting,Bandai Namco Entertainment,0.17,0.01,0.06,0.02,0.26,26/10/2018
My Hero One's Justice,XOne,Fighting,Bandai Namco Entertainment,0.12,,,0.01,0.14,26/10/2018
My Hero One's Justice,PC,Fighting,Bandai Namco Entertainment,,,,,,26/10/2018
Namco Museum Arcade Pac,NS,Misc,Bandai Namco Entertainment,0.08,0.02,,0.01,0.11,28/9/2018
Naruto Shippuden: Ultimate Ninja Storm Trilogy,All,Fighting,Bandai Namco Entertainment,,,,,,26/4/2018
Naruto Shippuden: Ultimate Ninja Storm Trilogy,PS4,Fighting,Bandai Namco Entertainment,,,,,,26/4/2018
Naruto Shippuden: Ultimate Ninja Storm Trilogy,NS,Fighting,Bandai Namco Entertainment,,,,,,26/4/2018
Naruto Shippuden: Ultimate Ninja Storm Trilogy,XOne,Fighting,Bandai Namco Entertainment,,,,,,26/4/2018
Naruto to Boruto: Shinobi Striker,All,Action,Bandai Namco Entertainment,,,,,,31/8/2018
Ni no Kuni II: Revenant Kingdom,All,Role-Playing,Bandai Namco Entertainment,,,,,,23/3/2018
Pac-Man: Championship Edition 2 Plus,NS,Action,Bandai Namco Entertainment,,,,,,22/2/2018
Ride 3,PC,Racing,Bandai Namco Entertainment,,,,,,30/11/2018
SoulCalibur VI,All,Fighting,Bandai Namco Entertainment,,,,,,19/10/2018
Summer Lesson: Hikari - Allison - Chisato 3 in 1 Game Pack,PS4,Misc,Bandai Namco Entertainment,,,,,,22/2/2018
The Seven Deadly Sins: Knights of Britannia,PS4,Fighting,Bandai Namco Entertainment,0.05,0.02,0.02,0.01,0.1,9/2/2018
Naruto to Boruto: Shinobi Striker,PS4,Action,Bandai Namco Games,,,,,,31/8/2018
Naruto to Boruto: Shinobi Striker,XOne,Action,Bandai Namco Games,,,,,,31/8/2018
Pro Yakyuu Famista Evolution,NS,Sports,Bandai Namco Games,,,0.12,,0.12,2/8/2018
SoulCalibur VI,PS4,Fighting,Bandai Namco Games,,,,,,19/10/2018
SoulCalibur VI,XOne,Fighting,Bandai Namco Games,0.26,0.01,,0.03,0.3,19/10/2018
SoulCalibur VI,PC,Fighting,Bandai Namco Games,,,,,,19/10/2018
Super Robot Wars X,PS4,Strategy,Bandai Namco Games,,,0.13,,0.13,29/3/2018
Taiko no Tatsujin: Drum 'n' Fun!,NS,Music,Bandai Namco Games,,,,,,2/11/2018
20XX,NS,Platform,Batterystaple Games,,,,,,10/7/2018
Sisters In Hotel: Episode 2,PC,Visual+Novel,bch waves studio,,,,,,2/4/2018
Beat Saber,PS4,Music,Beat Games,,,,,,20/11/2018
Beat Saber,OR,Music,Beat Games,,,,,,1/5/2018
Figment,NS,Action-Adventure,Bedtime Digital Games,,,,,,28/6/2018
Just Shapes & Beats,NS,Music,Berzerk Studio,,,,,,1/7/2018
Fallout 76,PS4,Role-Playing,Bethesda Softworks,0.52,0.49,0.1,0.2,1.32,14/11/2018
Fallout 76,XOne,Role-Playing,Bethesda Softworks,0.59,0.26,,0.09,0.93,14/11/2018
Fallout 76,PC,Role-Playing,Bethesda Softworks,0.12,0.07,,0.02,0.21,14/11/2018
Fallout 76,All,Role-Playing,Bethesda Softworks,,,,,,14/11/2018
Fallout Shelter,NS,Simulation,Bethesda Softworks,,,,,,10/6/2018
The Elder Scrolls Online: Summerset,XOne,MMO,Bethesda Softworks,0.09,0.01,,0.01,0.11,21/5/2018
The Elder Scrolls Online: Summerset,PS4,MMO,Bethesda Softworks,0.08,,,0.02,0.1,21/5/2018
Wolfenstein II: The New Colossus,NS,Shooter,Bethesda Softworks,0.05,0.05,,0.01,0.11,29/6/2018
Iconoclasts,PC,Action-Adventure,Bifrost Entertainment,,,,,,23/1/2018
Iconoclasts,PS4,Action-Adventure,Bifrost Entertainment,,,,,,23/1/2018
Iconoclasts,PSV,Action-Adventure,Bifrost Entertainment,,,,,,23/1/2018
AO International Tennis,PS4,Sports,Big Ant Studios,,,,,,8/5/2018
AO International Tennis,XOne,Sports,Big Ant Studios,,,,,,8/5/2018
