Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date
ACA NEOGEO SAMURAI SHODOWN III,PS4,Fighting,Hamster Corporation,,,,,,19/4/2018
ACA NEOGEO SAMURAI SHODOWN III,NS,Fighting,Hamster Corporation,,,,,,5/4/2018
ACA NEOGEO SAMURAI SHODOWN III,XOne,Fighting,Hamster Corporation,,,,,,1/2/2018
ACA NEOGEO SAMURAI SHODOWN IV,PS4,Fighting,Hamster Corporation,,,,,,8/6/2018
ACA NEOGEO SAMURAI SHODOWN IV,XOne,Fighting,Hamster Corporation,,,,,,19/4/2018
ACA NEOGEO SAMURAI SHODOWN V,NS,Fighting,Hamster Corporation,,,,,,5/7/2018
ACA NEOGEO SAMURAI SHODOWN V,XOne,Fighting,Hamster Corporation,,,,,,5/7/2018
ACA NEOGEO SENGOKU 2,NS,Action,Hamster Corporation,,,,,,1/3/2018
ACA NEOGEO SENGOKU 3,PS4,Action,Hamster Corporation,,,,,,13/6/2018
ACA NEOGEO SENGOKU 3,NS,Action,Hamster Corporation,,,,,,29/3/2018
ACA NEOGEO SENGOKU 3,XOne,Action,Hamster Corporation,,,,,,29/3/2018
ACA NEOGEO SHOCK TROOPERS,XOne,Action,Hamster Corporation,,,,,,25/1/2018
ACA NEOGEO SHOCK TROOPERS,PS4,Action,Hamster Corporation,,,,,,25/1/2018
ACA NEOGEO SHOCK TROOPERS 2nd Squad,PS4,Action,Hamster Corporation,,,,,,6/6/2018
ACA NEOGEO SHOCK TROOPERS 2nd Squad,XOne,Action,Hamster Corporation,,,,,,1/3/2018
ACA NEOGEO STAKES WINNER,PS4,Sports,Hamster Corporation,,,,,,8/6/2018
ACA NEOGEO STAKES WINNER,XOne,Sports,Hamster Corporation,,,,,,2/5/2018
ACA NEOGEO STAKES WINNER,NS,Sports,Hamster Corporation,,,,,,2/5/2018
ACA NEOGEO SUPER SIDEKICKS 2,PS4,Sports,Hamster Corporation,,,,,,8/6/2018
ACA NEOGEO SUPER SIDEKICKS 2,NS,Sports,Hamster Corporation,,,,,,10/5/2018
ACA NEOGEO SUPER SIDEKICKS 2,XOne,Sports,Hamster Corporation,,,,,,10/5/2018
ACA NEOGEO SUPER SIDEKICKS 3 : THE NEXT GLORY,XOne,Sports,Hamster Corporation,,,,,,14/6/2018
ACA NEOGEO SUPER SIDEKICKS 3 : THE NEXT GLORY,NS,Sports,Hamster Corporation,,,,,,14/6/2018
ACA NEOGEO THE KING OF FIGHTERS 2000,XOne,Fighting,Hamster Corporation,,,,,,21/6/2018
Dragon Quest X: All in One Package Ver.1-4,NS,MMO,Square Enix,,,0.03,,0.03,26/7/2018
Dragon Quest X: All in One Package Ver.1-4,PS4,MMO,Square Enix,,,0.01,,0.01,26/7/2018
The Elder Scrolls Online: Summerset,PC,MMO,Bethesda Softworks,,0.01,,0,0.01,21/5/2018
ACA NEOGEO THE KING OF FIGHTERS '97,NS,Fighting,Hamster Corporation,,,,,,26/7/2018
ACA NEOGEO THE KING OF FIGHTERS '98,PS4,Fighting,Hamster Corporation,,,,,,26/2/2018
ACA NEOGEO THE KING OF FIGHTERS '98,XOne,Fighting,Hamster Corporation,,,,,,11/1/2018
ACA NEOGEO THE KING OF FIGHTERS '99,XOne,Fighting,Hamster Corporation,,,,,,5/4/2018
ACA NEOGEO THE LAST BLADE 2,NS,Fighting,Hamster Corporation,,,,,,21/6/2018
ACA NEOGEO THE LAST BLADE 2,PS4,Fighting,Hamster Corporation,,,,,,19/4/2018
ACA NEOGEO THE LAST BLADE 2,XOne,Fighting,Hamster Corporation,,,,,,15/2/2018
ACA NEOGEO THE SUPER SPY,NS,Action,Hamster Corporation,,,,,,12/7/2018
ACA NEOGEO THE SUPER SPY,XOne,Action,Hamster Corporation,,,,,,12/7/2018
ACA NEOGEO TOP HUNTER RODDY & CATHY,PS4,Action,Hamster Corporation,,,,,,8/1/2018
ACA NEOGEO TOP PLAYERS GOLF,XOne,Sports,Hamster Corporation,,,,,,24/5/2018
ACA NEOGEO TOP PLAYER'S GOLF,NS,Sports,Hamster Corporation,,,,,,24/5/2018
ACA NEOGEO WORLD HEROES,XOne,Fighting,Hamster Corporation,,,,,,23/2/2018
Just Dance 2019,X360,Music,Ubisoft,0.05,0.01,,0.01,0.07,23/10/2018
Persona 5: Dancing in Starlight,PS4,Music,Atlus,0.03,,0.03,0.01,0.06,4/12/2018
ACA NEOGEO WORLD HEROES 2,NS,Fighting,Hamster Corporation,,,,,,25/1/2018
Persona 3: Dancing in Moonlight,PS4,Music,Atlus,0.02,,0.01,0.01,0.04,4/12/2018
Let's Sing 2019,NS,Music,Ravenscourt,,0.03,,0,0.03,26/10/2018
IDOLiSH7 Twelve Fantasia!,PSV,Music,Bandai Namco Entertainment,,,0.03,,0.03,15/2/2018
Let's Sing 2019,PS4,Music,Ravenscourt,,0.03,,0,0.03,26/10/2018
Persona 5: Dancing in Starlight,PSV,Music,Atlus,,,0.02,,0.02,4/12/2018
Gal Metal!,NS,Music,Xseed Games,0.01,,0.01,0,0.02,30/10/2018
Persona Dancing: Deluxe Twin Plus,PSV,Music,Atlus,,,0.02,,0.02,24/5/2018
Musynx,NS,Music,PM Studios,0.01,,,0,0.01,19/6/2018
Let's Sing 2019,Wii,Music,Ravenscourt,,0.01,,0,0.01,26/10/2018
Persona 3: Dancing in Moonlight,PSV,Music,Atlus,,,0.01,,0.01,4/12/2018
ACA NEOGEO WORLD HEROES 2 JET,NS,Fighting,Hamster Corporation,,,,,,22/3/2018
ACA NEOGEO WORLD HEROES 2 JET,PS4,Fighting,Hamster Corporation,,,,,,30/1/2018
Arcade Archives: Crazy Climber,NS,Platform,Hamster Corporation,,,,,,8/2/2018
Arcade Archives: Donkey Kong,NS,Platform,Hamster Corporation,,,,,,14/6/2018
Arcade Archives: Heroic Episode,NS,Shooter,Hamster Corporation,,,,,,22/2/2018
Arcade Archives: Kid Niki Radical Ninja,NS,Action,Hamster Corporation,,,,,,25/1/2018
Arcade Archives: Moon Patrol,NS,Action,Hamster Corporation,,,,,,22/3/2018
Arcade Archives: Star Force,NS,Action,Hamster Corporation,,,,,,1/3/2018
America's Greatest Game Shows: Wheel of Fortune and Jeopardy!,NS,Party,Ubisoft,0.06,,,0.01,0.06,30/10/2018
Party Arcade,NS,Party,Planet Entertainment,0.05,,,0.01,0.06,9/11/2018
Carnival Games,PS4,Party,2K Games,0.04,,,0.01,0.05,6/11/2018
Carnival Games,XOne,Party,2K Games,0.04,,,0.01,0.05,6/11/2018
Hasbro Game Night for Nintendo Switch,NS,Party,Ubisoft,,0.01,,0,0.01,30/10/2018
Just Deal With It,PS4,Party,Wired Productions,0.01,,,0,0.01,4/12/2018
Jagged Alliance: Rage!,PC,Strategy,HandyGames,,,,,,7/12/2018
Bridge Constructor Portal,NS,Simulation,Headup Games,,,,,,28/2/2018
Runbow,NS,Platform,Headup Games,,,,,,14/6/2018
Pode,NS,Adventure,Henchman & Goon,,,,,,1/5/2018
Disc Jam,NS,Sports,High Horse Entertainment,,,,,,8/2/2018
Paladins,NS,Shooter,Hi-Rez Studios,,,,,,12/6/2018
Paladins,All,Shooter,Hi-Rez Studios,,,,,,8/5/2018
Paladins,PC,Shooter,Hi-Rez Studios,,,,,,8/5/2018
A Robot Named Fight!,NS,Platform,Hitcents,,,,,,26/4/2018
Draw a Stickman: EPIC 2,NS,Adventure,Hitcents,,,,,,11/1/2018
Aegis Defenders,NS,Action,Humble Bundle,,,,,,8/2/2018
Cultist Simulator,PC,Simulation,Humble Bundle,,,,,,31/5/2018
Staxel,PC,Simulation,Humble Bundle,,,,,,23/1/2018
Wandersong,NS,Adventure,Humble Bundle,,,,,,27/9/2018
Wizard of Legend,All,Action-Adventure,Humble Bundle,,,,,,15/5/2018
Dust: An Elysian Tail,NS,Platform,Humble Hearts,,,,,,10/9/2018
Antigraviator,PC,Racing,Iceberg Interactive,,,,,,6/6/2018
Hakuoki: Edo Blossoms,PSV,Visual+Novel,Idea Factory,,,,,,24/4/2018
Cyberdimension Neptunia: 4 Goddesses Online,PC,Role-Playing,Idea Factory International,,,,,,27/2/2018
Paper Wars: Cannon Fodder Devastated,NS,Action,iFun4all,,,,,,1/3/2018
Skies of Fury DX,NS,Simulation,Illumination Games,,,,,,12/4/2018
SteamWorld Dig 2,XOne,Platform,Image & Form Games,,,,,,21/11/2018
SteamWorld Dig 2,3DS,Platform,Image & Form Games,,,,,,22/2/2018
SteamWorld Dig: A Fistful of Dirt,NS,Platform,Image & Form Games,,,,,,1/2/2018
My Memory of Us,XOne,Adventure,IMGN PRO,,,,,,10/10/2018
My Memory of Us,PC,Adventure,IMGN PRO,,,,,,9/10/2018
My Memory of Us,PS4,Adventure,IMGN PRO,,,,,,9/10/2018
Sky Force Anniversary,NS,Shooter,Infinite Dreams Inc.,,,,,,8/11/2018
Sky Force Reloaded,NS,Shooter,Infinite Dreams Inc.,,,,,,1/2/2018
Bloodstained,Series,Platform,Inti Creates,,,,,,24/5/2018
Bloodstained: Curse of the Moon,All,Platform,Inti Creates,,,,,,24/5/2018
Bloodstained: Curse of the Moon,NS,Platform,Inti Creates,,,,,,24/5/2018
Bloodstained: Curse of the Moon,PSV,Platform,Inti Creates,,,,,,24/5/2018
Bloodstained: Curse of the Moon,PC,Platform,Inti Creates,,,,,,24/5/2018
Gal*Gunvolt Burst,PS4,Action,Inti Creates,,,,,,15/3/2018
Paw Patrol on a Roll,PS4,Platform,Outright Games,0.06,,,0.01,0.07,23/10/2018
Scribblenauts: Showdown,NS,Platform,Warner Bros. Interactive,0.03,0.03,,0.01,0.07,6/3/2018
Mega Man 11,XOne,Platform,Capcom,0.06,,,0.01,0.06,2/10/2018
Owlboy,NS,Platform,Soedesco,0.03,0.01,,0.01,0.05,29/5/2018
Little Nightmares,NS,Platform,Bandai Namco Entertainment,,0.02,0.03,0,0.05,18/5/2018
Without Within 3,PC,Visual+Novel,InvertMouse,,,,,,3/5/2018
Scribblenauts: Showdown,PS4,Platform,Warner Bros. Interactive,0.04,,,0.01,0.05,6/3/2018
Toki Collector's Edition,NS,Platform,Microids,0.04,,,0.01,0.05,22/11/2018
Owlboy,PS4,Platform,Soedesco,0.04,,,0.01,0.05,29/5/2018
Paw Patrol on a Roll,XOne,Platform,Outright Games,0.04,,,0,0.04,23/10/2018
Mega Man X Legacy Collection 1+2,XOne,Platform,Capcom Entertainment,0.04,,,0,0.04,24/7/2018
Scribblenauts: Showdown,XOne,Platform,Warner Bros. Interactive,0.03,,,0,0.04,6/3/2018
Salt and Sanctuary,NS,Platform,Leadman Games,0.03,,,0,0.03,11/12/2018
Flashback,NS,Platform,Maximum Games,0.01,0.02,,0,0.03,20/11/2018
de Blob 2,NS,Platform,THQ Nordic,0.03,,,0,0.03,28/8/2018
Mega Man X Legacy Collection 1+2,NS,Platform,Capcom,,,0.03,,0.03,24/7/2018
Monster Boy and the Cursed Kingdom,PS4,Platform,FDG Entertainment,0.02,,,0,0.03,6/11/2018
Rad Rodgers,PS4,Platform,THQ Nordic,0.02,,,0,0.02,21/2/2018
Flipping Death,PS4,Platform,Rising Star,0.02,,,0,0.02,16/10/2018
Runner3,NS,Platform,Nicalis,0.02,,,0,0.02,22/5/2018
SteamWorld Dig 2,PS4,Platform,Rising Star Games,0.01,,,0,0.02,19/6/2018
Rad Rodgers,XOne,Platform,THQ Nordic,0.02,,,0,0.02,21/2/2018
Mega Man X Legacy Collection 1,PS4,Platform,Capcom,,,0.01,,0.01,26/7/2018
Mega Man X Legacy Collection 1,NS,Platform,Capcom,,,0.01,,0.01,26/7/2018
Flashback,PS4,Platform,Microids,0.01,,,0,0.01,20/11/2018
Candle: The Power of the Flame,NS,Platform,Merge Games,0.01,,,0,0.01,16/10/2018
Mega Man X Legacy Collection 2,NS,Platform,Capcom,,,0.01,,0.01,26/7/2018
SteamWorld Dig 2,NS,Platform,Rising Star Games,0.01,,,0,0.01,19/6/2018
Giana Sisters: Twisted Dreams,NS,Platform,THQ Nordic,0.01,,,0,0.01,25/9/2018
The Liar Princess and the Blind Prince,PSV,Platform,Nippon Ichi Software,,,0.01,,0.01,31/5/2018
Mega Man X Legacy Collection 2,PS4,Platform,Capcom,,,0.01,,0.01,26/7/2018
Crash Bandicoot N. Sane Trilogy,PC,Platform,Activision,,0,,0,0,29/6/2018
Wasteland 2: Director's Cut,NS,Strategy,inXile Entertainment,,,,,,13/9/2018
Kingdom Rush Origins,PC,Strategy,Ironhide Game Studio,,,,,,18/10/2018
Warp Shift,NS,Puzzle,Isbit Games,,,,,,27/3/2018
39 Days to Mars,PC,Adventure,It's Anecdotal,,,,,,25/4/2018
The Jackbox Party Pack 5,NS,Party,Jackbox Games,,,,,,17/10/2018
The Jackbox Party Pack 5,PC,Party,Jackbox Games,,,,,,17/10/2018
Neonwall,NS,Action,JanduSoft S.L.,,,,,,15/3/2018
12 Labours of Hercules VII: Fleecing the Fleece,PC,Strategy,Jetdogs Studios,,,,,,12/1/2018
12 Labours of Hercules VIII: How I Met Megara,PC,Strategy,Jetdogs Studios,,,,,,26/12/2018
Bendy and the Ink Machine,PC,Puzzle,Joey Drew Studios Inc.,,,,,,28/2/2018
Realpolitiks,NS,Simulation,Jujubee S.A.,,,,,,30/8/2018
Attack of the Earthlings,PC,Strategy,Junkfish Limited,,,,,,8/2/2018
Picross S2,NS,Puzzle,Jupiter Corporation,,,,,,2/8/2018
Game Dev Story,NS,Strategy,Kairosoft Co. Ltd,,,,,,11/10/2018
Shadows Awakening,PC,Role-Playing,Kalypso Media,,,,,,4/9/2018
Shadows: Awakening,PS4,Role-Playing,Kalypso Media,,,,,,4/9/2018
Alvastia Chronicles,iOS,Role-Playing,Kemco,,,,,,8/6/2018
Alvastia Chronicles,And,Role-Playing,Kemco,,,,,,24/5/2018
Antiquia Lost,PS4,Role-Playing,Kemco,,,,,,31/7/2018
Asdivine Hearts II,XOne,Role-Playing,Kemco,,,,,,21/12/2018
Asdivine Hearts II,PC,Role-Playing,Kemco,,,,,,19/12/2018
Asdivine Hearts II,iOS,Role-Playing,Kemco,,,,,,6/4/2018
Asdivine Hearts II,And,Role-Playing,Kemco,,,,,,6/4/2018
Dragon Sinker,NS,Role-Playing,Kemco,,,,,,22/2/2018
Sephirothic Stories,And,Role-Playing,Kemco,,,,,,25/10/2018
Sephirothic Stories,iOS,Role-Playing,Kemco,,,,,,25/10/2018
Scintillatron 4096,PSV,Shooter,kFunction Ltd,,,,,,18/12/2018
Door Kickers: Action Squad,PC,Strategy,KillHouse Games,,,,,,10/9/2018
Mark of the Ninja: Remastered,NS,Action,Klei Entertainment,,,,,,9/10/2018
Ashes Cricket,PS4,Sports,Koch Media,,,,,,16/11/2018
Kona,NS,Adventure,Koch Media,,,,,,9/3/2018
Attack on Titan 2,All,Action,Koei Tecmo,,,,,,20/3/2018
Attack on Titan 2,NS,Action,Koei Tecmo,0.12,0.02,0.08,0.02,0.23,20/3/2018
Attack on Titan 2,PS4,Action,Koei Tecmo,0.09,0.04,0.06,0.03,0.22,20/3/2018
Attack on Titan 2 - A.O.T.2 - ??????,PC,Action,Koei Tecmo,,,,,,15/3/2018
Dynasty Warriors 9,All,Action,Koei Tecmo,,,,,,13/2/2018
Warriors  Orochi 4,NS,Action,Koei Tecmo,,,,,,16/10/2018
Warriors  Orochi 4,PS4,Action,Koei Tecmo,0.05,,0.16,0.01,0.22,16/10/2018
Warriors Orochi 4,All,Action,Koei Tecmo,,,,,,16/10/2018
Winning Post 8 2018,PC,Sports,Koei Tecmo,,,,,,15/3/2018
IMAGEFIGHT,WiiU,Action,Konami,,,,,,8/2/2018
IMAGEFIGHT 2,WiiU,Action,Konami,,,,,,8/2/2018
Jikkyou Powerful Pro Baseball 2018,PS4,Sports,Konami,,,0.26,,0.26,26/4/2018
Jikkyou Powerful Pro Baseball 2018,PSV,Sports,Konami,,,0.12,,0.12,26/4/2018
NECROMANCER,WiiU,Role-Playing,Konami,,,,,,1/2/2018
Pro Evolution Soccer 2019,PS4,Sports,Konami,0.06,0.23,0.15,0.05,0.5,28/8/2018
Pro Evolution Soccer 2019,PC,Sports,Konami,,,,,,28/8/2018
Zone of the Enders: The 2nd Runner MARS,PC,Simulation,Konami,,,,,,6/9/2018
Zone of the Enders: The 2nd Runner MARS,PS4,Simulation,Konami,0.05,0.01,0.03,0.01,0.1,4/9/2018
Metal Gear Survive,PS4,Action,Konami Digital Entertainment,0.08,0.06,0.05,0.03,0.23,20/2/2018
Metal Gear Survive,PC,Action,Konami Digital Entertainment,,,,,,20/2/2018
Little Triangle,NS,Action,KONANDENKI,,,,,,1/3/2018
The Trail: Frontier Challenge,NS,Simulation,Kongregate,,,,,,8/3/2018
Salt,PC,Adventure,Lavaboots Studios,,,,,,6/2/2018
Lady Layton: The Millionaire Ariadone's Conspiracy,And,Puzzle,Level 5,,,,,,1/1/2018
Island Flight Simulator,NS,Simulation,Libredia Entertainment,,,,,,1/2/2018
Mulaka,NS,Action-Adventure,Lienzo,,,,,,1/3/2018
Marie's Room,PC,Adventure,like Charlie,,,,,,13/4/2018
Hero of the Kingdom III,PC,Role-Playing,Lonely Troops,,,,,,30/8/2018
Antventor,PC,Adventure,LoopyMood,,,,,,17/5/2018
Swim Out,NS,Puzzle,Lozange Lab,,,,,,20/3/2018
Sausage Sports Club,NS,Platform,Luckshot Games,,,,,,1/9/2018
Marooners,XOne,Party,M2H,,,,,,6/2/2018
Marooners,PS4,Party,M2H,,,,,,6/2/2018
No Heroes Here,NS,Party,Mad Mimic,,,,,,28/6/2018
Need a Packet?,PC,Simulation,Marginal act,,,,,,20/8/2018
Home Sweet Home (2017),XOne,Adventure,Mastiff,,,,,,16/10/2018
Celeste,XOne,Platform,Matt Makes Games Inc.,,,,,,26/1/2018
Celeste,All,Platform,Matt Makes Games Inc.,,,,,,25/1/2018
Celeste,PC,Platform,Matt Makes Games Inc.,,,,,,25/1/2018
Celeste,PS4,Platform,Matt Makes Games Inc.,,,,,,25/1/2018
Celeste,NS,Platform,Matt Makes Games Inc.,,,,,,25/1/2018
TowerFall,NS,Action,Matt Makes Games Inc.,,,,,,27/9/2018
Epic Battle Fantasy 5,PC,Role-Playing,Matt Roszak,,,,,,30/11/2018
Conan Exiles,PC,Action-Adventure,Maximum Games,,,,,,8/5/2018
Conan Exiles,PS4,Action-Adventure,Maximum Games,0.05,0.05,0.09,0.02,0.21,8/5/2018
Sushi Striker: The Way of Sushido,NS,Puzzle,Nintendo,0.02,0.01,0.03,0,0.07,8/6/2018
Super Bomberman R,PS4,Puzzle,Konami Digital Entertainment,0.03,,0.03,0.01,0.06,12/6/2018
Sushi Striker: The Way of Sushido,3DS,Puzzle,Nintendo,0.02,,0.02,0,0.04,8/6/2018
Super Bomberman R,XOne,Puzzle,Konami Digital Entertainment,0.03,,,0,0.03,12/6/2018
Bridge Constructor Portal,XOne,Puzzle,Nighthawk Interactive,0.02,,,0,0.02,28/8/2018
Gotouchi Tetsudou for Nintendo Switch!!,NS,Puzzle,Bandai Namco Games,,,0.02,,0.02,22/2/2018
The Mahjong,NS,Puzzle,D3Publisher,,,0,,0,23/6/2018
Extinction,PC,Action,Maximum Games,,,,,,10/4/2018
Fable Fortune,PC,Board+Game,Mediatonic,,,,,,22/2/2018
Fable Fortune,XOne,Board+Game,Mediatonic,,,,,,22/2/2018
The Mercury Man,PC,Action,Mehsoft,,,,,,20/5/2018
3D MiniGolf,NS,Sports,Merge Games,,,,,,1/2/2018
Brawlout,NS,Fighting,Merge Games,,,,,,26/6/2018
Dead Cells,NS,Action,Merge Games,0.08,0.02,,0.01,0.11,15/8/2018
Dead Cells,XOne,Action,Merge Games,,,,,,15/8/2018
Moonlighter,NS,Role-Playing,Merge Games,,,,,,9/11/2018
The Long Reach,NS,Adventure,Merge Games,,,,,,14/3/2018
Floor Kids,NS,Sports,MERJ Media,,,,,,1/1/2018
Nidhogg 2,XOne,Action,Messhof,,,,,,18/7/2018
Catch & Release,PS4,Simulation,metricminds GmbH & Co. KG,,,,,,28/8/2018
Asterix and Obelix XXL2,XOne,Action-Adventure,Microids,,,,,,29/11/2018
Asterix and Obelix XXL2,PC,Action-Adventure,Microids,,,,,,29/11/2018
Flashback,XOne,Platform,Microids,,,,,,20/11/2018
Gear.Club Unlimited 2,NS,Racing,Microids,,,,,,4/12/2018
Age of Empires: Definitive Edition,PC,Strategy,Microsoft Studios,,,,,,20/2/2018
Forza Horizon 4,XOne,Racing,Microsoft Studios,0.74,0.95,0.01,0.15,1.84,2/10/2018
Forza Horizon 4,All,Racing,Microsoft Studios,,,,,,2/10/2018
Forza Horizon 4,PC,Racing,Microsoft Studios,,,,,,2/10/2018
Hellblade: Senua's Sacrifice,XOne,Action-Adventure,Microsoft Studios,,,,,,4/12/2018
ReCore: Definitive Edition,PC,Action-Adventure,Microsoft Studios,,,,,,14/9/2018
Sea of Thieves,PC,Action-Adventure,Microsoft Studios,,,,,,20/3/2018
Sea of Thieves,XOne,Action-Adventure,Microsoft Studios,0.6,0.27,,0.09,0.96,20/3/2018
State of Decay 2,XOne,Action-Adventure,Microsoft Studios,0.27,0.14,,0.04,0.46,22/5/2018
State of Decay 2,PC,Action-Adventure,Microsoft Studios,,,,,,22/5/2018
Sunset Overdrive,PC,Action,Microsoft Studios,,,,,,16/11/2018
2064: Read Only Memories INTEGRAL,NS,Adventure,MidBoss,,,,,,26/7/2018
Quarantine Circular,NS,Adventure,Mike Bithell Games,,,,,,8/12/2018
Gravel,PC,Racing,Milestone S.r.l.,,,,,,27/2/2018
Monster Energy Supercross - The Official Videogame,PS4,Racing,Milestone S.r.l.,0.08,0.01,,0.02,0.11,13/2/2018
MotoGP 18,NS,Racing,Milestone S.r.l.,,,,,,28/6/2018
MotoGP 18,XOne,Racing,Milestone S.r.l.,,,,,,7/6/2018
MotoGP 18,PS4,Racing,Milestone S.r.l.,,,,,,7/6/2018
MXGP Pro,PC,Racing,Milestone S.r.l.,,,,,,29/6/2018
Farm Together,PC,Simulation,Milkstone Studios,,,,,,11/10/2018
The Mind's Eclipse,PC,Visual+Novel,Mind's Eclipse Interactive,,,,,,25/1/2018
The Lion's Song,NS,Adventure,Mipumi Games GmbH,,,,,,10/7/2018
FAR: Lone Sails,PC,Adventure,Mixtvision,,,,,,17/5/2018
FAR: Lone Sails,OSX,Adventure,Mixtvision,,,,,,17/5/2018
R.B.I. Baseball 18,XOne,Sports,MLB Advanced Media,0.12,,,0.01,0.13,20/3/2018
R.B.I. Baseball 18,NS,Sports,MLB Advanced Media,0.12,,,0.01,0.13,20/3/2018
Ninjin: Clash of Carrots,NS,Action,Modus Games,,,,,,4/9/2018
Ninjin: Clash of Carrots,PS4,Action,Modus Games,,,,,,4/9/2018
Ninjin: Clash of Carrots,XOne,Action,Modus Games,,,,,,4/9/2018
Ninjin: Clash of Carrots,PC,Action,Modus Games,,,,,,4/9/2018
Override: Mech City Brawl,PC,Action-Adventure,Modus Games,,,,,,4/12/2018
Minecraft,NS,Sandbox,Mojang,0.69,0.56,0.52,0.12,1.89,21/6/2018
Dead Cells,All,Action,Motion Twin,,,,,,7/8/2018
Seeking Dawn,PC,Shooter,Multiverse,,,,,,12/7/2018
Shadow Bug,NS,Platform,Muro Studios,,,,,,30/3/2018
Fairyland: Blackberry Warrior,PC,Strategy,Naarassusi Publisher,,,,,,16/7/2018
Fairyland: Chronicle,PC,Strategy,Naarassusi Publisher,,,,,,16/4/2018
Fairyland: Fairylines,PC,Strategy,Naarassusi Publisher,,,,,,6/11/2018
Fairyland: Power Dice,PC,Strategy,Naarassusi Publisher,,,,,,9/7/2018
Fairyland: The Guild,PC,Strategy,Naarassusi Publisher,,,,,,7/9/2018
Pro Basketball Manager 2019,PC,Simulation,Nacon,,,,,,21/11/2018
.hack//G.U. Last Recode,PC,Role-Playing,Namco Bandai Games,,,,,,1/1/2018
Digimon Story: Cyber Sleuth - Hacker's Memory,PS4,Role-Playing,Namco Bandai Games,0.05,0.05,0.04,0.02,0.16,19/1/2018
Dragon Ball FighterZ,PS4,Fighting,Namco Bandai Games,,,,,,26/1/2018
Dragon Ball FighterZ,XOne,Fighting,Namco Bandai Games,,,,,,26/1/2018
Dragon Ball FighterZ,PC,Fighting,Namco Bandai Games,,,,,,26/1/2018
Naruto to Boruto: Shinobi Striker,PC,Action,Namco Bandai Games,,,,,,31/8/2018
New Gundam Breaker,PS4,Action,Namco Bandai Games,0.03,,0.1,0.01,0.13,22/6/2018
Ni no Kuni II: Revenant Kingdom,PS4,Role-Playing,Namco Bandai Games,0.33,0.31,0.12,0.13,0.89,23/3/2018
Ni no Kuni II: Revenant Kingdom,PC,Role-Playing,Namco Bandai Games,,,,,,23/3/2018
Sword Art Online: Fatal Bullet,PS4,Role-Playing,Namco Bandai Games,0.11,0.03,0.13,0.03,0.29,23/2/2018
Sword Art Online: Fatal Bullet,PC,Role-Playing,Namco Bandai Games,,,,,,23/2/2018
Sword Art Online: Fatal Bullet,XOne,Role-Playing,Namco Bandai Games,0.09,,,0.01,0.1,23/2/2018
Sword Art Online: Hollow Realization,PSV,Role-Playing,Namco Bandai Games,,0.08,0.16,0.02,0.26,1/1/2018
Tales of Berseria,PC,Role-Playing,Namco Bandai Games,,,,,,1/1/2018
Gekido Kintaro's Revenge,NS,Action,Naps Team,,,,,,22/3/2018
Harvest Moon: Light of Hope,NS,Simulation,Natsume,0.12,0.03,,0.02,0.17,29/5/2018
MONMUSU,PC,Visual+Novel,NEKO WORKs,,,,,,12/5/2018
"Warhammer 40,000: Inquisitor - Martyr",PC,Action,NeocoreGames,,,,,,5/6/2018
BallisticNG,PC,Racing,Neognosis,,,,,,14/12/2018
DUSK,PC,Shooter,New Blood Interactive,,,,,,18/12/2018
Redout,NS,Racing,Nicalis,,,,,,30/12/2018
Save me Mr Tako: Tasukete Tako-San,NS,Platform,Nicalis,,,,,,30/10/2018
Bayonetta,NS,Action,Nintendo,,,,,,16/2/2018
Nickelodeon Kart Racers,XOne,Racing,GameMill Entertainment,0.08,,,0.01,0.09,23/10/2018
Nickelodeon Kart Racers,PS4,Racing,GameMill Entertainment,0.07,,,0.02,0.09,23/10/2018
Monster Energy Supercross - The Official Videogame,XOne,Racing,Milestone S.r.l.,0.08,,,0.01,0.08,13/2/2018
TT Isle of Man: Ride on the Edge,XOne,Racing,Big Ben Interactive,0.05,0.03,,0.01,0.08,6/3/2018
Spintires: MudRunner - American Wilds,PS4,Racing,Focus Home Interactive,0.07,,,0.02,0.08,23/10/2018
Gravel,PS4,Racing,Milestone S.r.l.,0.06,,,0.01,0.08,27/2/2018
MX vs ATV All Out,XOne,Racing,THQ Nordic,0.07,,,0.01,0.08,27/3/2018
Ride 3,PS4,Racing,Bandai Namco Entertainment,0.03,0.03,,0.01,0.07,30/11/2018
Spintires: MudRunner - American Wilds,XOne,Racing,Focus Home Interactive,0.06,,,0.01,0.07,23/10/2018
Spintires: MudRunner - American Wilds,NS,Racing,Maximum Games,0.05,,,0.01,0.06,23/10/2018
MXGP Pro,PS4,Racing,Milestone S.r.l.,0.04,,,0.01,0.05,10/7/2018
Dakar 18,PS4,Racing,Deep Silver,0.03,0.01,,0.01,0.05,25/9/2018
Gravel,XOne,Racing,Milestone S.r.l.,0.04,,,0,0.05,27/2/2018
Onrush,PS4,Racing,Deep Silver,0.04,,,0.01,0.05,5/6/2018
Snow Moto Racing Freedom,NS,Racing,Big Ben Interactive,0.03,,,0,0.03,27/3/2018
Monster Energy Supercross - The Official Videogame,NS,Racing,Milestone S.r.l.,0.03,,,0,0.03,13/2/2018
Onrush,XOne,Racing,Deep Silver,0.03,,,0,0.03,5/6/2018
Aqua Moto Racing Utopia,NS,Racing,Big Ben Interactive,0.03,,,0,0.03,27/3/2018
